Setpoint,PID_Output,Planta_Output
48.00,-0.14,49.52
48.00,-0.13,49.51
48.00,-0.13,49.49
48.00,-0.14,49.49
48.00,-0.14,49.48
48.00,-0.12,49.47
48.00,-0.12,49.45
48.00,-0.10,49.44
48.00,-0.10,49.44
48.00,-0.12,49.43
48.00,-0.12,49.41
48.00,-0.09,49.40
48.00,-0.09,49.39
48.00,-0.11,49.39
48.00,-0.11,49.37
48.00,-0.08,49.36
48.00,-0.08,49.35
48.00,-0.07,49.33
48.00,-0.07,49.32
48.00,-0.08,49.32
48.00,-0.08,49.31
48.00,-0.05,49.29
48.00,-0.05,49.28
48.00,-0.04,49.27
48.00,-0.04,49.27
48.00,-0.05,49.26
48.00,-0.05,49.24
48.00,-0.03,49.23
48.00,-0.03,49.22
48.00,-0.02,49.21
48.00,-0.02,49.21
48.00,-0.03,49.19
48.00,-0.03,49.18
48.00,-0.00,49.17
48.00,-0.00,49.16
48.00,-0.01,49.16
48.00,-0.01,49.14
48.00,0.01,49.13
48.00,0.01,49.12
48.00,0.02,49.11
48.00,0.02,49.11
48.00,0.01,49.10
48.00,0.01,49.08
48.00,0.04,49.07
48.00,0.04,49.06
48.00,0.05,49.05
48.00,0.05,49.05
48.00,0.04,49.04
48.00,0.04,49.03
48.00,0.06,49.01
48.00,0.06,49.00
48.00,0.05,49.00
48.00,0.05,48.99
48.00,0.08,48.98
48.00,0.08,48.97
48.00,0.09,48.96
48.00,0.09,48.96
48.00,0.08,48.95
48.00,0.08,48.94
48.00,0.10,48.93
48.00,0.10,48.91
48.00,0.09,48.91
48.00,0.09,48.90
48.00,0.12,48.89
48.00,0.12,48.88
48.00,0.13,48.87
48.00,0.13,48.87
48.00,0.12,48.86
48.00,0.12,48.85
48.00,0.14,48.84
48.00,0.14,48.83
48.00,0.14,48.83
48.00,0.14,48.82
48.00,0.16,48.81
48.00,0.16,48.80
48.00,0.17,48.79
48.00,0.17,48.78
48.00,0.16,48.78
48.00,0.16,48.77
48.00,0.18,48.76
48.00,0.18,48.75
48.00,0.20,48.74
48.00,0.20,48.74
48.00,0.19,48.73
48.00,0.19,48.72
48.00,0.21,48.71
48.00,0.21,48.70
48.00,0.20,48.70
48.00,0.20,48.69
48.00,0.23,48.68
48.00,0.23,48.67
48.00,0.24,48.66
48.00,0.24,48.66
48.00,0.23,48.65
48.00,0.23,48.64
48.00,0.25,48.63
48.00,0.25,48.63
48.00,0.24,48.63
48.00,0.24,48.62
48.00,0.27,48.61
48.00,0.27,48.60
48.00,0.28,48.59
48.00,0.28,48.58
48.00,0.27,48.58
48.00,0.27,48.57
48.00,0.29,48.56
48.00,0.29,48.56
48.00,0.30,48.55
48.00,0.30,48.55
48.00,0.30,48.54
48.00,0.30,48.53
48.00,0.32,48.52
48.00,0.32,48.51
48.00,0.31,48.51
48.00,0.31,48.51
48.00,0.33,48.50
48.00,0.33,48.49
48.00,0.34,48.48
48.00,0.34,48.48
48.00,0.34,48.47
48.00,0.34,48.46
48.00,0.36,48.46
48.00,0.36,48.45
48.00,0.35,48.45
48.00,0.35,48.44
48.00,0.37,48.43
48.00,0.37,48.43
48.00,0.38,48.42
48.00,0.38,48.42
48.00,0.38,48.41
48.00,0.38,48.40
48.00,0.40,48.40
48.00,0.40,48.39
48.00,0.41,48.38
48.00,0.41,48.38
48.00,0.40,48.37
48.00,0.40,48.37
48.00,0.42,48.36
48.00,0.42,48.35
48.00,0.42,48.35
48.00,0.42,48.35
48.00,0.43,48.34
48.00,0.43,48.33
48.00,0.44,48.33
48.00,0.44,48.33
48.00,0.44,48.32
48.00,0.44,48.31
48.00,0.46,48.31
48.00,0.46,48.30
48.00,0.45,48.30
48.00,0.45,48.29
48.00,0.47,48.29
48.00,0.47,48.28
48.00,0.48,48.27
48.00,0.48,48.27
48.00,0.48,48.27
48.00,0.48,48.26
48.00,0.49,48.25
48.00,0.49,48.25
48.00,0.50,48.24
48.00,0.50,48.24
48.00,0.50,48.24
48.00,0.50,48.23
48.00,0.52,48.22
48.00,0.52,48.22
48.00,0.51,48.22
48.00,0.51,48.21
48.00,0.53,48.21
48.00,0.53,48.20
48.00,0.54,48.20
48.00,0.54,48.20
48.00,0.54,48.19
48.00,0.54,48.18
48.00,0.55,48.18
48.00,0.55,48.17
48.00,0.55,48.17
48.00,0.55,48.17
48.00,0.56,48.16
48.00,0.56,48.16
48.00,0.57,48.15
